seller_id,seller_state,order_count,delivered_order_count,canceled_or_unavailable_count,late_delivery_count,very_late_count,low_review_count,total_item_value,avg_review_score,late_delivery_rate,low_review_rate,cancellation_rate,seller_priority_score,seller_priority_band
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,334,325,2,28,16,57,55578.57,3.9546827794561934,0.084,0.171,0.006,25,Low
5dceca129747e92ff8ef7a997dc4f8ca,SP,325,322,1,20,10,64,112155.53,3.984423676012461,0.062,0.197,0.003,25,Low
ef506c96320abeedfb894c34db06f478,SP,324,316,1,27,18,55,9771.43,3.931464174454829,0.083,0.17,0.003,25,Low
77530e9772f57a62c906e1c21538ab82,PR,320,312,1,36,17,50,46610.4,4.1069182389937104,0.113,0.156,0.003,25,Low
7142540dd4c91e2237acb7e911c4eba2,SP,319,316,0,26,12,46,37373.56,4.028391167192429,0.082,0.144,0.0,25,Low
634964b17796e64304cadf1ad3050fb7,RJ,268,265,1,27,12,42,39465.1,4.037453183520599,0.101,0.157,0.004,25,Low
17e34d8224d27a541263c4c64b11a56b,SP,255,247,2,21,10,32,56363.24,4.1857707509881426,0.082,0.125,0.008,25,Low
1554a68530182680ad5c8b042c3ab563,MG,247,246,0,17,10,26,29052.53,4.314285714285714,0.069,0.105,0.0,25,Low
37515688008a7a40ac93e3b2e4ab203f,SP,228,227,0,23,11,24,5986.6,4.092920353982301,0.101,0.105,0.0,25,Low
e5a3438891c0bfdb9394643f95273d8e,SP,224,216,1,40,23,43,7738.349999999999,3.918918918918919,0.179,0.192,0.004,25,Low
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,219,218,0,34,17,24,68395.0,4.205479452054795,0.155,0.11,0.0,25,Low
7aa4334be125fcdd2ba64b3180029f14,SP,217,214,0,29,14,32,16234.81,4.102325581395349,0.134,0.147,0.0,25,Low
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,187,184,0,14,10,22,74004.62,4.28494623655914,0.075,0.118,0.0,25,Low
0dd184061fb0eaa7ca37932c68ab91c5,SP,161,161,0,19,12,22,18446.92,4.03125,0.118,0.137,0.0,25,Low
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,159,155,2,20,10,18,27349.53,4.159235668789809,0.126,0.113,0.013,25,Low
8f2ce03f928b567e3d56181ae20ae952,SP,153,151,0,23,11,20,21712.9,4.105263157894737,0.15,0.131,0.0,25,Low
b499c00f28f4b7069ff6550af8c1348a,SP,152,147,0,19,10,20,10327.130000000001,4.118421052631579,0.125,0.132,0.0,25,Low
2c9e548be18521d1c43cde1c582c6de8,SP,126,124,0,20,13,17,6109.44,4.112903225806452,0.159,0.135,0.0,25,Low
cd68562d3f44870c08922d380acae552,SP,125,122,1,22,11,23,18569.7,3.943548387096774,0.176,0.184,0.008,25,Low
8444e55c1f13cd5c179851e5ca5ebd00,MG,99,92,4,6,4,35,22873.21,3.2626262626262625,0.061,0.354,0.04,25,Low
6973a06f484aacf400ece213dbf3d946,SP,95,89,3,15,5,25,11011.05,3.5638297872340425,0.158,0.263,0.032,25,Low
04308b1ee57b6625f47df1d56f00eedf,SC,94,92,0,11,4,20,60130.6,3.882978723404255,0.117,0.213,0.0,25,Low
891071be6ba827b591264c90c2ae8a63,SP,92,85,1,15,7,23,4177.28,3.7717391304347827,0.163,0.25,0.011,25,Low
d20b021d3efdf267a402c402a48ea64b,SP,90,86,1,15,9,20,4140.17,3.6853932584269664,0.167,0.222,0.011,25,Low
f84a00e60c73a49e7e851c9bdca3a5bb,RJ,90,88,0,10,6,19,5949.94,3.8333333333333335,0.111,0.211,0.0,25,Low
609e1a9a6c2539919b8205cf7c4e6ff0,SC,87,87,0,2,1,18,6595.23,3.8117647058823527,0.023,0.207,0.0,25,Low
e8b3a3a38279a82f0e5d006d5e5b7d2c,PR,87,80,0,4,2,19,13154.7,3.793103448275862,0.046,0.218,0.0,25,Low
8e6d7754bc7e0f22c96d255ebda59eba,SP,85,84,0,14,3,23,14497.27,3.5647058823529414,0.165,0.271,0.0,25,Low
